component_id,path,source_authority,rights_expression,status,required_handling,notes
o015-habring-id-unit-07,source/id-ID/habring-07-dualitas-id.tex,o015-habring-arxiv-2607.11664v1,CC BY 4.0,derivative,"attribute Habring; link CC BY 4.0; identify translation and corrections; no implied endorsement","Independent id-ID translation preserving all 148 ordered source environments, the reference/citation/footnote/prompt surfaces, and eleven stable segments; only the duplicated final authority label is uniquely remapped."
o015-habring-id-wrapper-07,source/id-ID/D90-HAB-07-dualitas-id.tex,o015-habring-arxiv-2607.11664v1,CC BY 4.0,derivative,"attribute Habring; link CC BY 4.0; identify translation and corrections; retain source bibliography attribution","Standalone Indonesian reader wrapper with correction appendix and non-endorsement notice."
o015-solver-validation-07,qa/validate_duality_unit.py,lane-authored,project-local validation code,admitted,"ship source with results; no proprietary runtime","Uses NumPy/SciPy and open optimization routines to validate Fenchel/Moreau identities, Fenchel--Rockafellar, PDHG, and ADMM witnesses with negative controls."
o015-structural-audit-07,qa/audit_duality_unit.py,lane-authored,project-local validation code,admitted,"ship source with reports and formula-delta manifest","Checks exact authority/target identity, ordered topology, source surfaces, correction bindings, and all formula deltas."
o015-habring-ch08-text,authority/habring/source-v1/stochastic.tex,o015-habring-arxiv-2607.11664v1,CC BY 4.0,admitted,"attribution; license link; change notice; non-endorsement","Chapter 8 authority source; exact corrections listed as O015-HAB-ADV-0076 through O015-HAB-ADV-0083."
o015-habring-id-unit-08,source/id-ID/habring-08-penurunan-gradien-stokastik-id.tex,o015-habring-arxiv-2607.11664v1,CC BY 4.0,derivative,"attribute Habring; link CC BY 4.0; identify translation and corrections; no implied endorsement","Independent id-ID translation preserving all 24 ordered source environments, the sole label/reference pair, and three stable segments."
o015-habring-id-wrapper-08,source/id-ID/D90-HAB-08-penurunan-gradien-stokastik-id.tex,o015-habring-arxiv-2607.11664v1,CC BY 4.0,derivative,"attribute Habring; link CC BY 4.0; identify translation and corrections; retain source attribution","Standalone Indonesian reader wrapper with prerequisite note, correction appendix, and non-endorsement notice."
o015-solver-validation-08,qa/validate_stochastic_unit.py,lane-authored,project-local validation code,admitted,"ship source with results; no proprietary runtime","Uses exact arithmetic and deterministic enumeration to validate unbiasedness, conditional moments, projection, the best-iterate bound, and negative controls."
o015-structural-audit-08,qa/audit_stochastic_unit.py,lane-authored,project-local validation code,admitted,"ship source with reports and formula-delta manifest","Checks exact identity, ordered topology, full source-line closure, correction bindings, and formula deltas."
o015-habring-ch09-text,authority/habring/source-v1/optimal_transport.tex,o015-habring-arxiv-2607.11664v1,CC BY 4.0,admitted,"attribution; license link; change notice; non-endorsement","Chapter 9 authority source; exact content corrections O015-HAB-ADV-0084 through O015-HAB-ADV-0095."
o015-habring-id-unit-09,source/id-ID/habring-09-transportasi-optimal-id.tex,o015-habring-arxiv-2607.11664v1,CC BY 4.0,derivative,"attribute Habring; link CC BY 4.0; identify translation and corrections; no implied endorsement","Complete id-ID translation preserving all 47 ordered environments, five labels, native TikZ, and nine stable segments."
o015-habring-id-wrapper-09,source/id-ID/D90-HAB-09-transportasi-optimal-id.tex,o015-habring-arxiv-2607.11664v1,CC BY 4.0,derivative,"attribute Habring; link CC BY 4.0; identify translation and corrections; retain source attribution","Standalone Indonesian reader with prerequisites, correction appendix, bibliography notice, and non-endorsement."
o015-habring-local-bib-09,source/id-ID/references-ot-id.bib,o015-habring-arxiv-2607.11664v1,CC BY 4.0,corrected_derivative,"retain frozen authority bibliography; disclose local metadata correction and publisher evidence","Corrects the sole-author Villani record locally; event O015-HAB-ADV-0096; authority references.bib remains unchanged."
o015-solver-validation-09,qa/validate_optimal_transport_unit.py,lane-authored,project-local validation code,admitted,"ship source with results; no proprietary runtime","Uses NumPy/SciPy/HiGHS to validate rectangular finite OT, Wasserstein-2, entropic KKT/factorization, Sinkhorn, and negative controls."
o015-structural-audit-09,qa/audit_optimal_transport_unit.py,lane-authored,project-local validation code,admitted,"ship source with reports and formula-delta manifest","Checks exact identity, 47-environment topology, all nonblank source lines, source surfaces, 13 correction bindings, and formula deltas."
o015-penn-ch03-text,authority/penn-state/source/ClassNotes/Section3.tex,o015-penn-math555-v1.0-source,CC BY-NC-SA 3.0 US,admitted,"attribution; change notice; noncommercial; ShareAlike; license link; non-endorsement","Complete Chapter 3 authority; exact corrections O015-PENN-ADV-0004 through O015-PENN-ADV-0024."
o015-penn-ch03-figures,source/id-ID/figures/DichotomousSearch.pdf + GoldenRatioProof.pdf + GoldenSectionFail.pdf + NonConcave.pdf,o015-penn-math555-v1.0-source,CC BY-NC-SA 3.0 US submission-level evidence,admitted_with_notice,"retain exact bytes; source attribution; NC-SA handling; do not imply separate figure authorship","Four exact bundled vector figures; no separate embedded rights notices or generating source."
o015-penn-id-unit-03,source/id-ID/penn-03-pendakian-gradien-dan-pencarian-garis-id.tex,o015-penn-math555-v1.0-source,CC BY-NC-SA 3.0 US,derivative,"attribute Griffin/Miller/Mercer and Penn source; identify translation and corrections; noncommercial; ShareAlike; license link; no implied endorsement","Complete id-ID translation preserving all 142 ordered environments, 35 labels, 12 exercises, and eight source-linked segments."
o015-penn-id-wrapper-03,source/id-ID/D90-PENN-03-pendakian-gradien-dan-pencarian-garis-id.tex,o015-penn-math555-v1.0-source,CC BY-NC-SA 3.0 US,derivative,"same Penn attribution and NC-SA duties; retain correction appendix and non-endorsement","Standalone Indonesian reader wrapper with bounded prerequisite labels, rights notice, and source-output disclosure."
o015-penn-local-bbl-03,source/id-ID/references-penn-ch03-id.bbl,o015-penn-math555-v1.0-source,CC BY-NC-SA 3.0 US,excerpt,"retain bundled-entry metadata and Penn attribution; do not claim reconstruction of absent databases","Exact five-entry excerpt from the essential bundled Math555.bbl."
o015-penn-original-bridges-03,source/id-ID/penn-03-pendakian-gradien-dan-pencarian-garis-id.tex,lane-authored,original bridge material inside CC BY-NC-SA 3.0 US derivative,original_component,"identify independent authorship; do not attribute bridge code to Penn; retain NC-SA handling for the combined unit","Six locale-neutral pseudocode replacements and bounded numerical-output witnesses; no Maple or legacy-code text copied; no blanket reuse grant asserted."
o015-solver-validation-penn-03,qa/validate_penn_ch03_unit.py,lane-authored,project-local validation code,admitted,"ship source with deterministic result; no proprietary runtime","Uses Python/NumPy/SciPy/mpmath for 31 open checks including 11 negative controls."
o015-structural-audit-penn-03,qa/audit_penn_ch03_unit.py,lane-authored,project-local validation code,admitted,"ship source with report and formula-delta manifest","Checks pinned identities, exact topology, closure, rights exclusions, correction bindings, formula deltas, and final independent rereview."
o015-penn-ch04-text,authority/penn-state/source/ClassNotes/Section4.tex,o015-penn-math555-v1.0-source,CC BY-NC-SA 3.0 US,admitted,"attribution; change notice; noncommercial; ShareAlike; license link; non-endorsement","Complete Chapter 4 authority; exact corrections O015-PENN-ADV-0025 through O015-PENN-ADV-0037."
o015-penn-ch04-figures,source/id-ID/figures/ThreeDCos.pdf + WolfePhiOfT.pdf + WolfeConditionsIllustrated.pdf + ConvergenceFailure.pdf + GradientAscentOut.pdf,o015-penn-math555-v1.0-source,CC BY-NC-SA 3.0 US submission-level evidence,admitted_with_notice,"retain exact bytes; source attribution; NC-SA handling; do not imply separate figure authorship","Five exact bundled vector figures; no separate embedded rights notices or generating source."
o015-penn-id-unit-04,source/id-ID/penn-04-pencarian-garis-hampiran-dan-konvergensi-id.tex,o015-penn-math555-v1.0-source,CC BY-NC-SA 3.0 US,derivative,"attribute Griffin/Miller/Mercer and Penn source; identify translation and corrections; noncommercial; ShareAlike; license link; no implied endorsement","Complete id-ID translation preserving all 112 ordered environments, 32 labels, 66 displayed formulas, four exercises, five figures, and seven source-linked segments."
o015-penn-id-wrapper-04,source/id-ID/D90-PENN-04-pencarian-garis-hampiran-dan-konvergensi-id.tex,o015-penn-math555-v1.0-source,CC BY-NC-SA 3.0 US,derivative,"same Penn attribution and NC-SA duties; retain correction appendix and non-endorsement","Standalone Indonesian reader wrapper with nine bounded prerequisite labels, exact algorithm numbering, rights notice, and source-output disclosure."
o015-penn-local-bbl-04,source/id-ID/references-penn-ch04-id.bbl,o015-penn-math555-v1.0-source,CC BY-NC-SA 3.0 US,excerpt,"retain bundled-entry metadata and Penn attribution; do not claim reconstruction of absent databases","Exact one-entry Bert99 excerpt from the essential bundled Math555.bbl."
o015-penn-original-bridges-04,source/id-ID/penn-04-pencarian-garis-hampiran-dan-konvergensi-id.tex,lane-authored,original bridge material inside CC BY-NC-SA 3.0 US derivative,original_component,"identify independent authorship; do not attribute bridge code to Penn; retain NC-SA handling for the combined unit","Independent locale-neutral Armijo backtracking and two-part gradient-ascent pseudocode; no Maple or legacy-code text copied; no blanket reuse grant asserted."
o015-solver-validation-penn-04,qa/validate_penn_ch04_math.py,lane-authored,project-local validation code,admitted,"ship source with deterministic result; no proprietary runtime","Uses open Python/NumPy checks for 12 fail-closed Wolfe, Armijo, recurrence, Kantorovich, conditioning, and Newton gates."
o015-structural-audit-penn-04,qa/audit_penn_ch04_candidate.py + qa/PENN_CH04_FORMULA_DELTA_MANIFEST.json,lane-authored,project-local validation code,admitted,"ship source with report and formula-delta manifest","Checks frozen identities, exact topology and closure, all 13 correction bindings, formula deltas, rights exclusions, asset bytes, and final rereview."
o015-visual-qa-penn-04,qa/PENN_CH04_VISUAL_QA.json,lane-authored,project-local QA evidence,admitted,"ship deterministic render identity and inspection result; do not claim tagged PDF","Records all-page visual inspection, reflow repair, searchable-page count, font-map limitation, and untagged-PDF boundary."
o015-penn-ch05-text,authority/penn-state/source/ClassNotes/Section5.tex,o015-penn-math555-v1.0-source,CC BY-NC-SA 3.0 US,admitted,"attribution; change notice; noncommercial; ShareAlike; license link; non-endorsement","Complete Chapter 5 authority; exact corrections O015-PENN-ADV-0038 through O015-PENN-ADV-0049."
o015-penn-ch05-figures,source/id-ID/Figures/NewtonsMethod.pdf + DoublePeak.pdf + GaussModifiedNewtonsMethod.pdf + ModifiedNewton.pdf,o015-penn-math555-v1.0-source,CC BY-NC-SA 3.0 US submission-level evidence,admitted_with_notice,"retain exact bytes; source attribution; NC-SA handling; do not imply separate figure authorship","Four exact bundled vector figures; no separate embedded rights notices or generating source."
o015-penn-id-unit-05,source/id-ID/penn-05-metode-newton-dan-koreksi-id.tex,o015-penn-math555-v1.0-source,CC BY-NC-SA 3.0 US,derivative,"attribute Griffin/Miller/Mercer and Penn source; identify translation and corrections; noncommercial; ShareAlike; license link; no implied endorsement","Complete id-ID translation preserving all 84 ordered environments, ten labels, 35 displayed-formula surfaces, five exercises, four figures, and seven source-linked segments."
o015-penn-id-wrapper-05,source/id-ID/D90-PENN-05-metode-newton-dan-koreksi-id.tex,o015-penn-math555-v1.0-source,CC BY-NC-SA 3.0 US,derivative,"same Penn attribution and NC-SA duties; retain correction appendix and non-endorsement","Standalone Indonesian reader wrapper with four bounded prerequisite labels, source algorithm numbering, rights notice, and source-output disclosure."
o015-penn-local-bbl-05,source/id-ID/references-penn-ch05-id.bbl,o015-penn-math555-v1.0-source,CC BY-NC-SA 3.0 US,excerpt,"retain bundled-entry metadata and Penn attribution; do not claim reconstruction of absent databases","Exact one-entry Bert99 excerpt from the essential bundled Math555.bbl."
o015-penn-original-bridges-05,source/id-ID/penn-05-metode-newton-dan-koreksi-id.tex,lane-authored,original bridge material inside CC BY-NC-SA 3.0 US derivative,original_component,"identify independent authorship; do not attribute bridge code to Penn; retain NC-SA handling for the combined unit","Three independently authored locale-neutral algorithm surfaces replace five excluded Maple inputs for variable-step Newton, modified Cholesky, and corrected Newton; no Maple or legacy-code text copied; no blanket reuse grant asserted."
o015-solver-validation-penn-05,qa/validate_penn_ch05_math.py,lane-authored,project-local validation code,admitted,"ship source with deterministic result; no proprietary runtime","Uses open Python/SymPy checks for quartic Newton, indefinite-Hessian failure, modified Cholesky factors and solves, stationarity inequalities, local convergence, and negative controls."
o015-structural-audit-penn-05,qa/audit_penn_ch05_candidate.py,lane-authored,project-local validation code,admitted,"ship source with structure report and correction proposal","Checks frozen identities, exact 84-environment topology, formula/reference/asset/source-line closure, all 12 correction bindings, rights exclusions, and final target identity."
o015-independent-rereview-penn-05,qa/PENN_CH05_INDEPENDENT_REREVIEW.md,lane-authored,project-local QA evidence,admitted,"ship exact frozen-target review and resolved findings","Independent rereview resolved one P2 and three P3 findings and closed with P1=0, P2=0, P3=0."
o015-visual-qa-penn-05,qa/PENN_CH05_VISUAL_QA.json,lane-authored,project-local QA evidence,admitted,"ship deterministic render identity and inspection result; do not claim tagged PDF","Records all-page visual inspection, searchable-page count, Unicode-map status, clean figure/algorithm surfaces, and untagged-PDF boundary."
o015-backend-records,backend/,lane-authored,project-local structured data,admitted,"ship schema with deterministic JSONL and lossless CSV; retain source and rights relations","Locale-neutral modular backend; no blanket reuse grant asserted."
o015-backend-tooling,qa/extend_backend_penn_ch05.py + qa/validate_backend_penn_ch05.py + earlier unit generators and validators,lane-authored,project-local validation code,admitted,"ship source; preserve deterministic generation and validation evidence","Builds and validates the ten-unit stable-ID backend through Penn Chapter 5; earlier bounded generators and validators remain preserved; the obsolete aggregate qa/validate_backend.py is not part of the current release closure; no blanket reuse grant asserted."
o015-clason-valkonen,authority/comparator/clason-valkonen_2001.00216v7_source.tar,external benchmark,arXiv nonexclusive distribution only,benchmark_only,"do not translate or redistribute as an edition source","Content/editability benchmark; no derivative permission."
o015-mit-6253,https://ocw.mit.edu/courses/6-253-convex-analysis-and-optimization-spring-2012/,external donor,CC BY-NC-SA 4.0,optional_component_only,"component-separated attribution and NC-SA handling","Solved assessments exist but no public editable mathematical source."
o015-durea-strugariu,https://doi.org/10.2478/9783110426045,external benchmark,CC BY-NC-ND 3.0,excluded,"do not translate or adapt","Solved text benchmark; NoDerivatives forbids translation."
